update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
79,161792,366.10926676066526,437,0.625,0.4841229182759271,0.0,1.0,405.4375,273.8564790063401,27.0,877.0,1.9157796204090118,0.22053764201700687,0.04152916371822357,0.0010340112494304776,0.027913388387024035,1.0,0.0,1.0,1.0
80,163840,361.04900506283667,443,0.625,0.4841229182759271,0.0,1.0,410.5625,257.80248465394976,33.0,877.0,1.9253298342227936,0.20246135629713535,0.023727592080831528,0.0042281767091481015,0.0314372269752517,1.0,0.0,1.0,1.0
81,165888,369.3494147315125,449,0.6875,0.46351240544347894,0.0,1.0,432.1875,244.46554428743124,83.0,877.0,1.912731647491455,0.20783744007349014,0.01596186263486743,0.004818583460291848,0.04230115489247317,1.0,0.0,1.0,1.0
82,167936,366.8699397295153,454,0.6875,0.46351240544347894,0.0,1.0,382.1875,209.92981528060753,58.0,877.0,1.9110428094863892,0.17240563593804836,0.009204825721099041,0.005686308024451137,0.03598819889456703,1.0,0.0,1.0,1.0
83,169984,368.8684584878331,460,0.75,0.4330127018922193,0.0,1.0,375.625,295.7481772978491,58.0,1264.0,1.9103125482797623,0.17314961925148964,-0.005782314998214133,0.0072471185703761876,0.048133676197843714,1.0,0.0,1.0,1.0
84,172032,368.33562963832,465,0.6875,0.46351240544347894,0.0,1.0,371.5625,299.74571905825445,58.0,1264.0,1.9130647629499435,0.166213471442461,-0.0008871640311554074,0.0069986688904464245,0.04985163714412775,1.0,0.0,1.0,1.0
85,174080,361.78299947260984,471,0.8125,0.3903123748998999,0.0,1.0,310.4375,319.6529306822479,47.0,1264.0,1.9051328897476196,0.19691593199968338,-0.01848938560578972,0.011126624420285225,0.053449600566425844,1.0,0.0,1.0,1.0
86,176128,370.8067370787545,476,0.75,0.4330127018922193,0.0,1.0,319.625,313.8855036076053,47.0,1236.0,1.9173368513584137,0.19185000099241734,0.01142920320853591,0.007330054824706167,0.038976547719233215,1.0,0.0,1.0,1.0
87,178176,374.60411553070776,482,0.6875,0.46351240544347894,0.0,1.0,395.625,358.5508811521734,47.0,1236.0,1.9191578775644302,0.16683094203472137,0.012885121162980795,0.004735633701784536,0.04106598335044792,1.0,0.0,1.0,1.0
88,180224,365.78860800406073,488,0.6875,0.46351240544347894,0.0,1.0,424.875,347.5341485019853,77.0,1236.0,1.9229640513658524,0.16210326738655567,0.006332584220217541,0.0046753366477787495,0.03651424235419373,1.0,0.0,1.0,1.0
